"opt","choice_num","thresh","sd","safe_pay","myo"
77.385,18,100,"5","0.5",66.8
85.325,19,100,"5","0.5",75.5
100,20,100,"5","0.5",100
6.33500000000001,1,110,"5","0.5",-0.5
10.2,2,110,"5","0.5",4
14.14,3,110,"5","0.5",8.59999999999999
18.155,4,110,"5","0.5",13.2
22.25,5,110,"5","0.5",17.9
26.425,6,110,"5","0.5",22.6
30.685,7,110,"5","0.5",27.3
35.04,8,110,"5","0.5",32.1
39.485,9,110,"5","0.5",36.9
44.04,10,110,"5","0.5",41.9
48.71,11,110,"5","0.5",46.8
53.515,12,110,"5","0.5",51.9
58.47,13,110,"5","0.5",57.1
63.61,14,110,"5","0.5",62.4
68.97,15,110,"5","0.5",67.9
74.625,16,110,"5","0.5",73.6
80.69,17,110,"5","0.5",79.6
87.385,18,110,"5","0.5",86.2
95.325,19,110,"5","0.5",93.8
110,20,110,"5","0.5",110
-30.03,1,90,"10","0.5",-16.1
-26.68,2,90,"10","0.5",-12
-23.21,3,90,"10","0.5",-7.8
-19.625,4,90,"10","0.5",-3.59999999999999
-15.91,5,90,"10","0.5",0.700000000000003
-12.06,6,90,"10","0.5",5.09999999999999
-8.06499999999999,7,90,"10","0.5",9.59999999999999
-3.90999999999999,8,90,"10","0.5",14.1
0.419999999999992,9,90,"10","0.5",18.8
4.945,10,90,"10","0.5",23.7
9.68500000000001,11,90,"10","0.5",28.6
14.68,12,90,"10","0.5",33.8
19.965,13,90,"10","0.5",39.2
25.605,14,90,"10","0.5",44.8
31.685,15,90,"10","0.5",50.7
38.34,16,90,"10","0.5",57.2
45.79,17,90,"10","0.5",64.2
54.465,18,90,"10","0.5",72.3
65.45,19,90,"10","0.5",82.6
90,20,90,"10","0.5",110
-20.03,1,100,"10","0.5",13.7
-16.68,2,100,"10","0.5",17.4
-13.21,3,100,"10","0.5",21.2
-9.62499999999999,4,100,"10","0.5",25
-5.90999999999999,5,100,"10","0.5",28.9
-2.06,6,100,"10","0.5",32.8
1.93500000000001,7,100,"10","0.5",36.9
6.09000000000001,8,100,"10","0.5",41
10.42,9,100,"10","0.5",45.1
14.945,10,100,"10","0.5",49.4
19.685,11,100,"10","0.5",53.7
24.68,12,100,"10","0.5",58.1
29.965,13,100,"10","0.5",62.7
35.605,14,100,"10","0.5",67.4
41.685,15,100,"10","0.5",72.2
48.34,16,100,"10","0.5",77.2
55.79,17,100,"10","0.5",82.6
64.465,18,100,"10","0.5",88.4
75.45,19,100,"10","0.5",95.3
100,20,100,"10","0.5",110
-10.03,1,110,"10","0.5",12.3
-6.68,2,110,"10","0.5",14.7
-3.21,3,110,"10","0.5",17.3
0.375000000000005,4,110,"10","0.5",19.9
4.09000000000001,5,110,"10","0.5",22.7
7.94,6,110,"10","0.5",25.6
11.935,7,110,"10","0.5",28.7
16.09,8,110,"10","0.5",31.9
20.42,9,110,"10","0.5",35.2
24.945,10,110,"10","0.5",38.7
29.685,11,110,"10","0.5",42.4
34.68,12,110,"10","0.5",46.2
39.965,13,110,"10","0.5",50.3
45.605,14,110,"10","0.5",54.7
51.685,15,110,"10","0.5",59.3
58.34,16,110,"10","0.5",64.4
65.79,17,110,"10","0.5",70.1
74.465,18,110,"10","0.5",76.8
85.45,19,110,"10","0.5",85.5
110,20,110,"10","0.5",110
