run_id,condition,success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,rt,stimulus,key_press,responses,view_history,correct,image_click,points,sd,points2,total_earn,button_pressed,recorded_at,ip,user_agent,device,browser,browser_version,platform,platform_version,source_code_version
222,1,true,false,"""","""","""",preload,0,1838,0.0-0.0,"""","""","""","""","""","""","""","""","""","""","""","""","2021-08-17 18:03:41",189.180.109.139,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36",WebKit,Chrome,92.0.4515.131,Windows,10.0,5f461dd6c139dd6b46c7596cbd57cd79
222,1,"""","""","""","""","""",html-keyboard-response,1,4215,0.0-1.0,2362,"<font size=15>Welcome to our experiment!</font><br><br><br><i> Press <b>space bar</b> to begin.</i>",32,"""","""","""","""","""","""","""","""","""","2021-08-17 18:03:41",189.180.109.139,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36",WebKit,Chrome,92.0.4515.131,Windows,10.0,5f461dd6c139dd6b46c7596cbd57cd79
222,1,"""","""","""","""","""",survey-multi-choice,2,34072,0.0-2.0,29848,"""","""","{""Q0"":""Yes"",""Q1"":""Yes"",""Q2"":""Yes"",""Q3"":""Yes""}","""","""","""","""","""","""","""","""","2021-08-17 18:03:41",189.180.109.139,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36",WebKit,Chrome,92.0.4515.131,Windows,10.0,5f461dd6c139dd6b46c7596cbd57cd79
222,1,"""","""","""","""","""",survey-html-form,3,56568,0.0-3.0,22492.299999952316,"""","""","{""gender"":""male"",""age"":""32"",""hand"":""right"",""mail"":""603c7ab16aac09a248f51fc9""}","""","""","""","""","""","""","""","""","2021-08-17 18:03:41",189.180.109.139,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36",WebKit,Chrome,92.0.4515.131,Windows,10.0,5f461dd6c139dd6b46c7596cbd57cd79
222,1,true,"""","""","""","""",fullscreen,4,64937,0.0-4.0,"""","""","""","""","""","""","""","""","""","""","""","""","2021-08-17 18:03:41",189.180.109.139,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36",WebKit,Chrome,92.0.4515.131,Windows,10.0,5f461dd6c139dd6b46c7596cbd57cd79
222,1,"""","""","""","""","""",multikey-instructions,5,348155,0.0-5.0,283209,"""","""","""","[{""page_index"":0,""viewing_time"":74593},{""page_index"":1,""viewing_time"":25892},{""page_index"":2,""viewing_time"":32390},{""page_index"":3,""viewing_time"":13539},{""page_index"":4,""viewing_time"":10313},{""page_index"":5,""viewing_time"":18947},{""page_index"":6,""viewing_time"":11430},{""page_index"":7,""viewing_time"":19586},{""page_index"":8,""viewing_time"":31115},{""page_index"":9,""viewing_time"":19680},{""page_index"":10,""viewing_time"":19537},{""page_index"":11,""viewing_time"":6186}]","""","""","""","""","""","""","""","2021-08-17 18:03:41",189.180.109.139,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36",WebKit,Chrome,92.0.4515.131,Windows,10.0,5f461dd6c139dd6b46c7596cbd57cd79
222,1,"""","""","""","""","""",sampler,6,367770,0.0-6.0-0.0,19199,img/Cyan.png,"""","""","""",false,-1,11.137077551455057,10,"""","""","""","2021-08-17 18:03:41",189.180.109.139,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36",WebKit,Chrome,92.0.4515.131,Windows,10.0,5f461dd6c139dd6b46c7596cbd57cd79
222,1,"""","""","""","""","""",sampler,7,370231,0.0-6.0-1.0,2033,img/Cyan.png,"""","""","""",false,-1,-0.680987020766838,10,"""","""","""","2021-08-17 18:03:41",189.180.109.139,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36",WebKit,Chrome,92.0.4515.131,Windows,10.0,5f461dd6c139dd6b46c7596cbd57cd79
222,1,"""","""","""","""","""",sampler,8,373103,0.0-6.0-2.0,2461,img/Cyan.png,"""","""","""",false,-1,11.765095266961204,10,"""","""","""","2021-08-17 18:03:41",189.180.109.139,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36",WebKit,Chrome,92.0.4515.131,Windows,10.0,5f461dd6c139dd6b46c7596cbd57cd79
222,1,"""","""","""","""","""",sampler,9,376889,0.0-6.0-3.0,3375,img/Cyan.png,"""","""","""",false,-1,13.663791347516455,10,"""","""","""","2021-08-17 18:03:41",189.180.109.139,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36",WebKit,Chrome,92.0.4515.131,Windows,10.0,5f461dd6c139dd6b46c7596cbd57cd79
