run_id,condition,success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,rt,stimulus,key_press,responses,view_history,correct,image_click,points,sd,points2,total_earn,button_pressed,recorded_at,ip,user_agent,device,browser,browser_version,platform,platform_version,source_code_version
219,1,true,false,"""","""","""",preload,0,461,0.0-0.0,"""","""","""","""","""","""","""","""","""","""","""","""","2021-08-17 18:03:37",188.81.254.25,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36",WebKit,Chrome,92.0.4515.131,Windows,10.0,5f461dd6c139dd6b46c7596cbd57cd79
219,1,"""","""","""","""","""",html-keyboard-response,1,5551,0.0-1.0,5088,"<font size=15>Welcome to our experiment!</font><br><br><br><i> Press <b>space bar</b> to begin.</i>",32,"""","""","""","""","""","""","""","""","""","2021-08-17 18:03:37",188.81.254.25,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36",WebKit,Chrome,92.0.4515.131,Windows,10.0,5f461dd6c139dd6b46c7596cbd57cd79
219,1,"""","""","""","""","""",survey-multi-choice,2,11466,0.0-2.0,5912,"""","""","{""Q0"":""Yes"",""Q1"":""Yes"",""Q2"":""Yes"",""Q3"":""Yes""}","""","""","""","""","""","""","""","""","2021-08-17 18:03:37",188.81.254.25,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36",WebKit,Chrome,92.0.4515.131,Windows,10.0,5f461dd6c139dd6b46c7596cbd57cd79
219,1,"""","""","""","""","""",survey-html-form,3,19845,0.0-3.0,8373.800000011921,"""","""","{""gender"":""male"",""age"":""23"",""hand"":""left"",""mail"":""5f5bca237a4abb370a310830""}","""","""","""","""","""","""","""","""","2021-08-17 18:03:37",188.81.254.25,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36",WebKit,Chrome,92.0.4515.131,Windows,10.0,5f461dd6c139dd6b46c7596cbd57cd79
219,1,true,"""","""","""","""",fullscreen,4,22834,0.0-4.0,"""","""","""","""","""","""","""","""","""","""","""","""","2021-08-17 18:03:37",188.81.254.25,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36",WebKit,Chrome,92.0.4515.131,Windows,10.0,5f461dd6c139dd6b46c7596cbd57cd79
219,1,"""","""","""","""","""",multikey-instructions,5,113353,0.0-5.0,90517,"""","""","""","[{""page_index"":0,""viewing_time"":32957},{""page_index"":1,""viewing_time"":6942},{""page_index"":2,""viewing_time"":7577},{""page_index"":3,""viewing_time"":12075},{""page_index"":4,""viewing_time"":8699},{""page_index"":5,""viewing_time"":2747},{""page_index"":6,""viewing_time"":5317},{""page_index"":7,""viewing_time"":2100},{""page_index"":8,""viewing_time"":2210},{""page_index"":9,""viewing_time"":4430},{""page_index"":10,""viewing_time"":2562},{""page_index"":11,""viewing_time"":2901}]","""","""","""","""","""","""","""","2021-08-17 18:03:37",188.81.254.25,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36",WebKit,Chrome,92.0.4515.131,Windows,10.0,5f461dd6c139dd6b46c7596cbd57cd79
219,1,"""","""","""","""","""",sampler,6,117638,0.0-6.0-0.0,3881,img/Cobalt.png,"""","""","""",false,-1,6.262351500748403,5,"""","""","""","2021-08-17 18:03:37",188.81.254.25,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36",WebKit,Chrome,92.0.4515.131,Windows,10.0,5f461dd6c139dd6b46c7596cbd57cd79
219,1,"""","""","""","""","""",sampler,7,120106,0.0-6.0-1.0,2062,img/Cobalt.png,"""","""","""",false,-1,10.33305779700217,5,"""","""","""","2021-08-17 18:03:37",188.81.254.25,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36",WebKit,Chrome,92.0.4515.131,Windows,10.0,5f461dd6c139dd6b46c7596cbd57cd79
219,1,"""","""","""","""","""",sampler,8,120106,0.0-6.0-2.0,"""","""","""","""","""","""","""","""","""","""","""","""","2021-08-17 18:03:37",188.81.254.25,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36",WebKit,Chrome,92.0.4515.131,Windows,10.0,5f461dd6c139dd6b46c7596cbd57cd79
219,1,"""","""","""","""","""",sampler,9,120107,0.0-6.0-3.0,"""","""","""","""","""","""","""","""","""","""","""","""","2021-08-17 18:03:37",188.81.254.25,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36",WebKit,Chrome,92.0.4515.131,Windows,10.0,5f461dd6c139dd6b46c7596cbd57cd79
