run_id,condition,success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,rt,stimulus,key_press,responses,view_history,correct,image_click,points,sd,points2,total_earn,recorded_at,ip,user_agent,device,browser,browser_version,platform,platform_version,source_code_version
193,1,true,false,"""","""","""",preload,0,2205,0.0-0.0,"""","""","""","""","""","""","""","""","""","""","""","2021-08-13 21:12:50",196.21.159.220,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36",WebKit,Chrome,92.0.4515.131,Windows,10.0,5f461dd6c139dd6b46c7596cbd57cd79
193,1,"""","""","""","""","""",html-keyboard-response,1,7360,0.0-1.0,5130,"<font size=15>Welcome to our experiment!</font><br><br><br><i> Press <b>space bar</b> to begin.</i>",32,"""","""","""","""","""","""","""","""","2021-08-13 21:12:50",196.21.159.220,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36",WebKit,Chrome,92.0.4515.131,Windows,10.0,5f461dd6c139dd6b46c7596cbd57cd79
193,1,"""","""","""","""","""",survey-multi-choice,2,26372,0.0-2.0,18983,"""","""","{""Q0"":""Yes"",""Q1"":""Yes"",""Q2"":""Yes"",""Q3"":""Yes""}","""","""","""","""","""","""","""","2021-08-13 21:12:50",196.21.159.220,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36",WebKit,Chrome,92.0.4515.131,Windows,10.0,5f461dd6c139dd6b46c7596cbd57cd79
193,1,"""","""","""","""","""",survey-html-form,3,87666,0.0-3.0,61025.10000000009,"""","""","{""gender"":""female"",""age"":""24"",""hand"":""right"",""mail"":""6102fa6ac8cbdc103f608441""}","""","""","""","""","""","""","""","2021-08-13 21:12:50",196.21.159.220,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36",WebKit,Chrome,92.0.4515.131,Windows,10.0,5f461dd6c139dd6b46c7596cbd57cd79
193,1,true,"""","""","""","""",fullscreen,4,287852,0.0-4.0,"""","""","""","""","""","""","""","""","""","""","""","2021-08-13 21:12:50",196.21.159.220,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36",WebKit,Chrome,92.0.4515.131,Windows,10.0,5f461dd6c139dd6b46c7596cbd57cd79
193,1,"""","""","""","""","""",multikey-instructions,5,981591,0.0-5.0,693713,"""","""","""","[{""page_index"":0,""viewing_time"":123020},{""page_index"":1,""viewing_time"":81076},{""page_index"":2,""viewing_time"":81773},{""page_index"":3,""viewing_time"":29549},{""page_index"":4,""viewing_time"":55947},{""page_index"":5,""viewing_time"":31766},{""page_index"":6,""viewing_time"":11963},{""page_index"":7,""viewing_time"":10753},{""page_index"":8,""viewing_time"":99877},{""page_index"":9,""viewing_time"":38091},{""page_index"":10,""viewing_time"":100158},{""page_index"":11,""viewing_time"":29734}]","""","""","""","""","""","""","2021-08-13 21:12:50",196.21.159.220,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36",WebKit,Chrome,92.0.4515.131,Windows,10.0,5f461dd6c139dd6b46c7596cbd57cd79
193,1,"""","""","""","""","""",sampler,6,1011727,0.0-6.0-0.0,29700,img/Cyan.png,"""","""","""",false,-1,15.146790440451,10,"""","""","2021-08-13 21:12:50",196.21.159.220,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36",WebKit,Chrome,92.0.4515.131,Windows,10.0,5f461dd6c139dd6b46c7596cbd57cd79
193,1,"""","""","""","""","""",sampler,7,1013334,0.0-6.0-1.0,1141,img/Cyan.png,"""","""","""",false,-1,7.956306739102093,10,"""","""","2021-08-13 21:12:50",196.21.159.220,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36",WebKit,Chrome,92.0.4515.131,Windows,10.0,5f461dd6c139dd6b46c7596cbd57cd79
193,1,"""","""","""","""","""",sampler,8,1014647,0.0-6.0-2.0,877,img/Cyan.png,"""","""","""",false,-1,6.523012109927169,10,"""","""","2021-08-13 21:12:50",196.21.159.220,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36",WebKit,Chrome,92.0.4515.131,Windows,10.0,5f461dd6c139dd6b46c7596cbd57cd79
193,1,"""","""","""","""","""",sampler,9,1015897,0.0-6.0-3.0,837,img/Cyan.png,"""","""","""",false,-1,-15.138065139361984,10,"""","""","2021-08-13 21:12:50",196.21.159.220,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36",WebKit,Chrome,92.0.4515.131,Windows,10.0,5f461dd6c139dd6b46c7596cbd57cd79
