run_id,condition,success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,rt,stimulus,key_press,responses,view_history,correct,image_click,points,sd,points2,total_earn,button_pressed,recorded_at,ip,user_agent,device,browser,browser_version,platform,platform_version,source_code_version
209,1,true,false,"""","""","""",preload,0,930,0.0-0.0,"""","""","""","""","""","""","""","""","""","""","""","""","2021-08-13 21:47:40",70.93.250.3,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:91.0) Gecko/20100101 Firefox/91.0",,Firefox,91.0,Windows,10.0,5f461dd6c139dd6b46c7596cbd57cd79
209,1,"""","""","""","""","""",html-keyboard-response,1,6240,0.0-1.0,5300,"<font size=15>Welcome to our experiment!</font><br><br><br><i> Press <b>space bar</b> to begin.</i>",32,"""","""","""","""","""","""","""","""","""","2021-08-13 21:47:40",70.93.250.3,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:91.0) Gecko/20100101 Firefox/91.0",,Firefox,91.0,Windows,10.0,5f461dd6c139dd6b46c7596cbd57cd79
209,1,"""","""","""","""","""",survey-multi-choice,2,14414,0.0-2.0,8167,"""","""","{""Q0"":""Yes"",""Q1"":""Yes"",""Q2"":""Yes"",""Q3"":""Yes""}","""","""","""","""","""","""","""","""","2021-08-13 21:47:40",70.93.250.3,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:91.0) Gecko/20100101 Firefox/91.0",,Firefox,91.0,Windows,10.0,5f461dd6c139dd6b46c7596cbd57cd79
209,1,"""","""","""","""","""",survey-html-form,3,26615,0.0-3.0,12195,"""","""","{""gender"":""male"",""age"":""35"",""hand"":""right"",""mail"":""610eb2deab587b7f98373a13""}","""","""","""","""","""","""","""","""","2021-08-13 21:47:40",70.93.250.3,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:91.0) Gecko/20100101 Firefox/91.0",,Firefox,91.0,Windows,10.0,5f461dd6c139dd6b46c7596cbd57cd79
209,1,true,"""","""","""","""",fullscreen,4,28545,0.0-4.0,"""","""","""","""","""","""","""","""","""","""","""","""","2021-08-13 21:47:40",70.93.250.3,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:91.0) Gecko/20100101 Firefox/91.0",,Firefox,91.0,Windows,10.0,5f461dd6c139dd6b46c7596cbd57cd79
209,1,"""","""","""","""","""",multikey-instructions,5,57906,0.0-5.0,29353,"""","""","""","[{""page_index"":0,""viewing_time"":1187},{""page_index"":1,""viewing_time"":753},{""page_index"":2,""viewing_time"":5617},{""page_index"":3,""viewing_time"":4340},{""page_index"":4,""viewing_time"":4371},{""page_index"":5,""viewing_time"":1114},{""page_index"":6,""viewing_time"":1432},{""page_index"":7,""viewing_time"":1599},{""page_index"":8,""viewing_time"":4433},{""page_index"":9,""viewing_time"":1303},{""page_index"":10,""viewing_time"":1710},{""page_index"":11,""viewing_time"":1494}]","""","""","""","""","""","""","""","2021-08-13 21:47:40",70.93.250.3,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:91.0) Gecko/20100101 Firefox/91.0",,Firefox,91.0,Windows,10.0,5f461dd6c139dd6b46c7596cbd57cd79
209,1,"""","""","""","""","""",sampler,6,64500,0.0-6.0-0.0,6174,img/Cobalt.png,"""","""","""",false,-1,13.776107574925895,10,"""","""","""","2021-08-13 21:47:40",70.93.250.3,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:91.0) Gecko/20100101 Firefox/91.0",,Firefox,91.0,Windows,10.0,5f461dd6c139dd6b46c7596cbd57cd79
209,1,"""","""","""","""","""",sampler,7,67356,0.0-6.0-1.0,2439,img/Cobalt.png,"""","""","""",false,-1,18.98455412991433,10,"""","""","""","2021-08-13 21:47:40",70.93.250.3,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:91.0) Gecko/20100101 Firefox/91.0",,Firefox,91.0,Windows,10.0,5f461dd6c139dd6b46c7596cbd57cd79
209,1,"""","""","""","""","""",sampler,8,67359,0.0-6.0-2.0,"""","""","""","""","""","""","""","""","""","""","""","""","2021-08-13 21:47:40",70.93.250.3,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:91.0) Gecko/20100101 Firefox/91.0",,Firefox,91.0,Windows,10.0,5f461dd6c139dd6b46c7596cbd57cd79
209,1,"""","""","""","""","""",sampler,9,67360,0.0-6.0-3.0,"""","""","""","""","""","""","""","""","""","""","""","""","2021-08-13 21:47:40",70.93.250.3,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:91.0) Gecko/20100101 Firefox/91.0",,Firefox,91.0,Windows,10.0,5f461dd6c139dd6b46c7596cbd57cd79
209,1,"""","""","""","""","""",sampler,10,67362,0.0-6.0-4.0,"""","""","""","""","""","""","""","""","""","""","""","""","2021-08-13 21:47:40",70.93.250.3,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:91.0) Gecko/20100101 Firefox/91.0",,Firefox,91.0,Windows,10.0,5f461dd6c139dd6b46c7596cbd57cd79
209,1,"""","""","""","""","""",sampler,11,67363,0.0-6.0-5.0,"""","""","""","""","""","""","""","""","""","""","""","""","2021-08-13 21:47:40",70.93.250.3,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:91.0) Gecko/20100101 Firefox/91.0",,Firefox,91.0,Windows,10.0,5f461dd6c139dd6b46c7596cbd57cd79
209,1,"""","""","""","""","""",sampler,12,67364,0.0-6.0-6.0,"""","""","""","""","""","""","""","""","""","""","""","""","2021-08-13 21:47:40",70.93.250.3,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:91.0) Gecko/20100101 Firefox/91.0",,Firefox,91.0,Windows,10.0,5f461dd6c139dd6b46c7596cbd57cd79
209,1,"""","""","""","""","""",sampler,13,67365,0.0-6.0-7.0,"""","""","""","""","""","""","""","""","""","""","""","""","2021-08-13 21:47:40",70.93.250.3,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:91.0) Gecko/20100101 Firefox/91.0",,Firefox,91.0,Windows,10.0,5f461dd6c139dd6b46c7596cbd57cd79
209,1,"""","""","""","""","""",sampler,14,67365,0.0-6.0-8.0,"""","""","""","""","""","""","""","""","""","""","""","""","2021-08-13 21:47:40",70.93.250.3,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:91.0) Gecko/20100101 Firefox/91.0",,Firefox,91.0,Windows,10.0,5f461dd6c139dd6b46c7596cbd57cd79
209,1,"""","""","""","""","""",sampler,15,67365,0.0-6.0-9.0,"""","""","""","""","""","""","""","""","""","""","""","""","2021-08-13 21:47:40",70.93.250.3,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:91.0) Gecko/20100101 Firefox/91.0",,Firefox,91.0,Windows,10.0,5f461dd6c139dd6b46c7596cbd57cd79
209,1,"""","""","""","""","""",sampler,16,67366,0.0-6.0-10.0,"""","""","""","""","""","""","""","""","""","""","""","""","2021-08-13 21:47:40",70.93.250.3,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:91.0) Gecko/20100101 Firefox/91.0",,Firefox,91.0,Windows,10.0,5f461dd6c139dd6b46c7596cbd57cd79
209,1,"""","""","""","""","""",sampler,17,67367,0.0-6.0-11.0,"""","""","""","""","""","""","""","""","""","""","""","""","2021-08-13 21:47:40",70.93.250.3,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:91.0) Gecko/20100101 Firefox/91.0",,Firefox,91.0,Windows,10.0,5f461dd6c139dd6b46c7596cbd57cd79
209,1,"""","""","""","""","""",sampler,18,67368,0.0-6.0-12.0,"""","""","""","""","""","""","""","""","""","""","""","""","2021-08-13 21:47:40",70.93.250.3,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:91.0) Gecko/20100101 Firefox/91.0",,Firefox,91.0,Windows,10.0,5f461dd6c139dd6b46c7596cbd57cd79
209,1,"""","""","""","""","""",sampler,19,67368,0.0-6.0-13.0,"""","""","""","""","""","""","""","""","""","""","""","""","2021-08-13 21:47:40",70.93.250.3,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:91.0) Gecko/20100101 Firefox/91.0",,Firefox,91.0,Windows,10.0,5f461dd6c139dd6b46c7596cbd57cd79
209,1,"""","""","""","""","""",sampler,20,67369,0.0-6.0-14.0,"""","""","""","""","""","""","""","""","""","""","""","""","2021-08-13 21:47:40",70.93.250.3,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:91.0) Gecko/20100101 Firefox/91.0",,Firefox,91.0,Windows,10.0,5f461dd6c139dd6b46c7596cbd57cd79
209,1,"""","""","""","""","""",sampler,21,67369,0.0-6.0-15.0,"""","""","""","""","""","""","""","""","""","""","""","""","2021-08-13 21:47:40",70.93.250.3,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:91.0) Gecko/20100101 Firefox/91.0",,Firefox,91.0,Windows,10.0,5f461dd6c139dd6b46c7596cbd57cd79
209,1,"""","""","""","""","""",sampler,22,67370,0.0-6.0-16.0,"""","""","""","""","""","""","""","""","""","""","""","""","2021-08-13 21:47:40",70.93.250.3,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:91.0) Gecko/20100101 Firefox/91.0",,Firefox,91.0,Windows,10.0,5f461dd6c139dd6b46c7596cbd57cd79
209,1,"""","""","""","""","""",sampler,23,67370,0.0-6.0-17.0,"""","""","""","""","""","""","""","""","""","""","""","""","2021-08-13 21:47:40",70.93.250.3,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:91.0) Gecko/20100101 Firefox/91.0",,Firefox,91.0,Windows,10.0,5f461dd6c139dd6b46c7596cbd57cd79
209,1,"""","""","""","""","""",sampler,24,67371,0.0-6.0-18.0,"""","""","""","""","""","""","""","""","""","""","""","""","2021-08-13 21:47:40",70.93.250.3,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:91.0) Gecko/20100101 Firefox/91.0",,Firefox,91.0,Windows,10.0,5f461dd6c139dd6b46c7596cbd57cd79
209,1,"""","""","""","""","""",sampler,25,67371,0.0-6.0-19.0,"""","""","""","""","""","""","""","""","""","""","""","""","2021-08-13 21:47:40",70.93.250.3,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:91.0) Gecko/20100101 Firefox/91.0",,Firefox,91.0,Windows,10.0,5f461dd6c139dd6b46c7596cbd57cd79
209,1,"""","""","""","""","""",sampler,26,67372,0.0-6.0-20.0,"""","""","""","""","""","""","""","""","""","""","""","""","2021-08-13 21:47:40",70.93.250.3,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:91.0) Gecko/20100101 Firefox/91.0",,Firefox,91.0,Windows,10.0,5f461dd6c139dd6b46c7596cbd57cd79
209,1,"""","""","""","""","""",sampler,27,67372,0.0-6.0-21.0,"""","""","""","""","""","""","""","""","""","""","""","""","2021-08-13 21:47:40",70.93.250.3,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:91.0) Gecko/20100101 Firefox/91.0",,Firefox,91.0,Windows,10.0,5f461dd6c139dd6b46c7596cbd57cd79
209,1,"""","""","""","""","""",sampler,28,67373,0.0-6.0-22.0,"""","""","""","""","""","""","""","""","""","""","""","""","2021-08-13 21:47:40",70.93.250.3,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:91.0) Gecko/20100101 Firefox/91.0",,Firefox,91.0,Windows,10.0,5f461dd6c139dd6b46c7596cbd57cd79
209,1,"""","""","""","""","""",sampler,29,67373,0.0-6.0-23.0,"""","""","""","""","""","""","""","""","""","""","""","""","2021-08-13 21:47:40",70.93.250.3,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:91.0) Gecko/20100101 Firefox/91.0",,Firefox,91.0,Windows,10.0,5f461dd6c139dd6b46c7596cbd57cd79
209,1,"""","""","""","""","""",sampler,30,67373,0.0-6.0-24.0,"""","""","""","""","""","""","""","""","""","""","""","""","2021-08-13 21:47:40",70.93.250.3,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:91.0) Gecko/20100101 Firefox/91.0",,Firefox,91.0,Windows,10.0,5f461dd6c139dd6b46c7596cbd57cd79
